,Private,Apps,Accept,perc.accept,Enroll,perc.enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Tot.Exp,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
University of St. Thomas TX,Yes,374,280,75,185,66,45,77,995,408,8550,4050,500,13100,1344,75,75,12.6,17,7237,62
University of Tennessee at Knoxville,No,7473,5372,72,3013,56,27,53,15749,3237,5764,3262,750,9776,3300,86,92,16.5,22,8612,53
University of Texas at Arlington,No,3281,2559,78,1448,57,19,43,10975,8431,4422,2780,500,7702,2850,73,73,21,4,4696,29
University of Texas at Austin,No,14752,9572,65,5329,56,48,85,30017,5189,5130,3309,650,9089,3140,91,99,19.7,11,7837,65
University of Texas at San Antonio,No,4217,3100,74,1686,54,17,46,9375,5457,4104,5376,452,9932,1200,94,100,25.3,3,4329,50
University of the Arts,Yes,974,704,72,290,41,5,22,1145,39,12520,3860,1300,17680,700,16,59,7.5,9,11641,57
University of the Pacific,Yes,2459,1997,81,582,29,36,66,2664,299,16320,5326,646,22292,1171,87,94,11.2,14,13706,65
University of the South,Yes,1445,966,67,326,34,46,83,1129,24,15350,4080,450,19880,810,89,93,10.3,52,18784,82
University of Tulsa,Yes,1712,1557,91,696,45,41,68,2936,433,11750,4160,1200,17110,2350,94,96,11.5,10,11743,47
University of Utah,No,5095,4491,88,2400,53,27,53,13894,8374,6857,3975,858,11690,3093,89,93,12.8,9,9275,37
University of Vermont,No,7663,6008,78,1735,29,18,51,7353,1674,15516,4928,500,20944,990,87,90,9.9,10,12646,79
University of Virginia,No,15849,5384,34,2678,50,74,95,11278,114,12212,3792,500,16504,1000,90,92,9.5,22,13597,95
University of Washington,No,12749,7025,55,3343,48,40,81,20356,4582,8199,4218,708,13125,2172,96,94,9,10,16527,65
University of West Florida,No,1558,1254,80,472,38,20,57,3754,2477,6172,3994,541,10707,1387,83,87,23.4,12,8488,53
University of Wisconsin-Stout,No,2593,1966,76,1030,52,9,32,6038,579,6704,2592,376,9672,1750,78,78,21,17,6254,65
University of Wisconsin-Superior,No,910,910,100,342,38,14,53,1434,417,7032,2780,550,10362,1960,75,81,15.2,15,6490,36
University of Wisconsin-Whitewater,No,4400,3719,85,1472,40,12,38,7804,1552,6950,2500,300,9750,1200,90,95,23.1,16,5559,67
University of Wisconsin at Green Bay,No,2409,1939,80,759,39,17,50,3819,1347,6900,2800,475,10175,1200,81,89,22.2,1,5968,46
University of Wisconsin at Madison,No,14901,10932,73,4631,42,36,80,23945,2200,9096,4290,535,13921,1545,93,96,11.5,20,11006,72
University of Wisconsin at Milwaukee,No,5244,3782,72,1930,51,12,37,11561,7443,8786,2964,570,12320,1980,79,87,15.9,8,8094,38
University of Wyoming,No,2029,1516,75,1073,71,23,46,7535,1488,5988,3422,600,10010,1500,91,94,15.1,13,8745,45
Upper Iowa University,Yes,663,452,68,192,42,10,35,1481,1160,8840,3060,500,12400,1000,69,75,17.4,19,3733,78
Ursinus College,Yes,1399,1026,73,308,30,44,77,1131,17,14900,5160,500,20560,800,82,85,11.6,40,12082,79
Ursuline College,Yes,325,260,80,86,33,21,47,699,717,9600,4202,450,14252,750,39,69,10.5,15,7164,68
Valley City State University,No,368,344,93,212,62,5,27,863,189,4286,2570,600,7456,2000,39,41,14.9,25,4958,40
Valparaiso University,Yes,2075,1727,83,520,30,49,81,2501,198,11800,3260,500,15560,800,87,89,14.2,23,9681,95
Vanderbilt University,Yes,7791,4690,60,1499,32,71,92,5500,90,17865,6525,630,25020,952,93,98,5.8,26,23850,83
Vassar College,Yes,3550,1877,53,653,35,53,87,2164,77,18920,5950,600,25470,800,90,98,9.7,39,17089,90
Villanova University,Yes,7759,5588,72,1477,26,30,68,6362,1292,15925,6507,400,22832,300,89,90,13.4,24,10458,96
Virginia Commonwealth University,No,4963,3497,70,1567,45,18,45,10262,5065,10217,4182,500,14899,3630,81,87,8.7,11,11183,45
Virginia State University,No,2996,2440,81,704,29,2,30,3006,338,5587,4845,500,10932,600,61,63,16,11,5733,31
Virginia Tech,No,15712,11719,75,4277,36,29,53,18511,604,10260,3176,740,14176,2200,85,89,13.8,20,8944,73
Virginia Union University,Yes,1847,1610,87,453,28,19,59,1298,67,7384,3494,500,11378,1763,51,67,13.7,8,6757,30
Virginia Wesleyan College,Yes,1470,900,61,287,32,20,49,1130,417,10900,5100,500,16500,550,70,81,15.7,14,7804,68
Viterbo College,Yes,647,518,80,271,52,17,43,1014,387,9140,3365,500,13005,2245,51,65,10.7,31,8050,73
Voorhees College,Yes,1465,1006,69,188,19,10,30,703,20,4450,2522,500,7472,1200,43,43,22.9,3,5861,58
Wabash College,Yes,800,623,78,256,41,41,76,801,5,12925,4195,500,17620,635,78,85,9.9,55,14904,72
Wagner College,Yes,1416,1015,72,417,41,10,44,1324,117,13500,5800,585,19885,1700,67,78,13.2,23,9006,75
Wake Forest University,Yes,5661,2392,42,903,38,75,88,3499,172,13850,4360,500,18710,1250,95,97,4.3,37,41766,89
Walsh University,Yes,1092,890,82,477,54,27,92,847,497,8670,4180,500,13350,1450,42,58,11.3,33,5738,68
Warren Wilson College,Yes,440,311,71,112,36,25,49,466,7,10000,3052,400,13452,1100,65,75,11.4,20,9430,63
Wartburg College,Yes,1231,1074,87,345,32,34,66,1295,105,11600,3610,400,15610,850,66,91,12.4,37,7735,67
Washington and Jefferson College,Yes,1305,1100,84,334,30,42,64,1098,151,16260,4005,300,20565,500,91,91,12.1,40,10162,86
Washington and Lee University,Yes,3315,1096,33,425,39,68,93,1584,3,13750,4619,680,19049,1115,81,96,9.6,45,15736,90
Washington College,Yes,1209,942,78,214,23,31,60,822,46,15276,5318,500,21094,300,79,86,11.2,37,10830,65
Washington State University,No,6540,5839,89,2440,42,31,70,14445,1344,8200,4210,800,13210,2719,84,87,16.9,30,10912,56
Washington University,Yes,7654,5259,69,1254,24,62,93,4879,1274,18350,5775,768,24893,1512,91,98,3.9,31,45702,90
Wayne State College,No,1373,1373,100,724,53,6,21,2754,474,2700,2660,540,5900,1660,60,68,20.3,29,4550,52
Waynesburg College,Yes,1190,978,82,324,33,12,30,1280,61,8840,3620,500,12960,1200,57,58,16.2,26,6563,63
Webber College,Yes,280,143,51,79,55,5,27,327,110,5590,2900,650,9140,1952,53,63,15.1,4,4839,90
Webster University,Yes,665,462,69,226,49,17,44,1739,1550,9160,4340,500,14000,500,68,68,20.6,14,6951,48
Wellesley College,Yes,2895,1249,43,579,46,80,96,2195,156,18345,5995,500,24840,700,94,98,10.6,51,21409,91
Wells College,Yes,318,240,75,130,54,40,85,416,19,14900,5550,600,21050,500,93,98,8.3,42,13935,69
Wentworth Institute of Technology,Yes,1480,1257,85,452,36,6,25,2961,572,9850,6050,850,16750,920,10,68,15.4,8,17858,64
Wesley College,Yes,980,807,82,350,43,10,25,872,448,9890,4674,500,15064,1350,52,57,14.4,15,6243,84
Wesleyan University,Yes,4772,1973,41,712,36,60,86,2714,27,19130,5600,1400,26130,1400,90,94,12.1,39,16262,92
West Chester University of Penn.,No,6502,3539,54,1372,39,11,51,7484,1904,7844,4108,400,12352,2000,76,79,15.3,16,6773,52
West Liberty State College,No,1164,1062,91,478,45,12,25,2138,227,4470,2890,600,7960,1210,33,33,16.3,10,4249,60
West Virginia Wesleyan College,Yes,1566,1400,89,483,35,28,55,1509,170,14200,3775,450,18425,1100,58,81,16.4,42,8080,67
Western Carolina University,No,3224,2519,78,1057,42,11,31,5000,706,6390,2380,110,8880,1622,67,78,14.6,9,6554,55
Western Maryland College,Yes,1205,984,82,278,28,31,50,1071,98,14510,5340,500,20350,1400,84,91,12.5,39,10026,60
Western Michigan University,No,9167,7191,78,2738,38,24,53,15739,4278,6940,4100,500,11540,1700,80,84,24.7,11,5983,55
Western New England College,Yes,1650,1471,89,409,28,7,21,1803,1116,8994,5500,498,14992,2065,74,97,15.4,15,8409,59
Western State College of Colorado,No,2702,1623,60,604,37,7,24,2315,146,5918,3755,500,10173,2050,76,79,19.4,4,4599,52
Western Washington University,No,5548,3563,64,1549,43,30,71,8909,506,8124,4144,639,12907,2385,83,89,22.7,10,7203,61
Westfield State College,No,3100,2150,69,825,38,3,20,3234,941,5542,3788,500,9830,1300,75,79,15.7,20,4222,65
Westminster College MO,Yes,662,553,84,184,33,20,43,665,37,10720,4050,600,15370,1650,66,70,12.5,20,7925,62
Westminster College,Yes,996,866,87,377,44,29,58,1411,72,12065,3615,430,16110,685,62,78,12.5,41,8596,80
Westminster College of Salt Lake City,Yes,917,720,79,213,30,21,60,979,743,8820,4050,600,13470,2025,68,83,10.5,34,7170,50
Westmont College,No,950,713,75,351,49,42,72,1276,9,14320,5304,490,20114,1410,77,77,14.9,17,8837,87
Wheaton College IL,Yes,1432,920,64,548,60,56,84,2200,56,11480,4200,530,16210,1400,81,83,12.7,40,11916,85
Westminster College PA,Yes,1738,1373,79,417,30,21,55,1335,30,18460,5970,700,25130,850,92,96,13.2,41,22704,71
Wheeling Jesuit College,Yes,903,755,84,213,28,15,49,971,305,10500,4545,600,15645,600,66,71,14.1,27,7494,72
Whitman College,Yes,1861,998,54,359,36,45,77,1220,46,16670,4900,750,22320,800,80,83,10.5,51,13198,72
Whittier College,Yes,1681,1069,64,344,32,35,63,1235,30,16249,5699,500,22448,1998,84,92,13.6,29,11778,52
Whitworth College,Yes,1121,926,83,372,40,43,70,1270,160,12660,4500,678,17838,2424,80,80,16.9,20,8328,80
Widener University,Yes,2139,1492,70,502,34,24,64,2186,2171,12350,5370,500,18220,1350,88,86,12.6,19,9603,63
Wilkes University,Yes,1631,1431,88,434,30,15,36,1803,603,11150,5130,550,16830,1260,78,92,13.3,24,8543,67
Willamette University,Yes,1658,1327,80,395,30,49,80,1595,159,14800,4620,400,19820,790,91,94,13.3,37,10779,68
William Jewell College,Yes,663,547,83,315,58,32,67,1279,75,10060,2970,500,13530,2600,74,80,11.2,19,7885,59
William Woods University,Yes,469,435,93,227,52,17,39,851,120,10535,4365,550,15450,3700,39,66,12.9,16,7438,52
Williams College,Yes,4186,1245,30,526,42,81,96,1988,29,19629,5790,500,25919,1200,94,99,9,64,22014,99
Wilson College,Yes,167,130,78,46,35,16,50,199,676,11428,5084,450,16962,475,67,76,8.3,43,10291,67
Wingate College,Yes,1239,1017,82,383,38,10,34,1207,157,7820,3400,550,11770,1550,69,81,13.9,8,7264,91
Winona State University,No,3325,2047,62,1301,64,20,45,5800,872,4200,2700,300,7200,1200,53,60,20.2,18,5318,58
Winthrop University,No,2320,1805,78,769,43,24,61,3395,670,6400,3392,580,10372,2150,71,80,12.8,26,6729,59
Wisconsin Lutheran College,Yes,152,128,84,75,59,17,41,282,22,9100,3700,500,13300,1400,48,48,8.5,26,8960,50
Wittenberg University,Yes,1979,1739,88,575,33,42,68,1980,144,15948,4404,400,20752,800,82,95,12.8,29,10414,78
Wofford College,Yes,1501,935,62,273,29,51,83,1059,34,12680,4150,605,17435,1440,91,92,15.3,42,7875,75
Worcester Polytechnic Institute,Yes,2768,2314,84,682,29,49,86,2802,86,15884,5370,530,21784,730,92,94,15.2,34,10774,82
Worcester State College,No,2197,1515,69,543,36,4,26,3089,2029,6797,3900,500,11197,1200,60,60,21,14,4469,40
Xavier University,Yes,1959,1805,92,695,39,24,47,2849,1107,11520,4960,600,17080,1250,73,75,13.3,31,9189,83
Xavier University of Louisiana,Yes,2097,1915,91,695,36,34,61,2793,166,6900,4200,617,11717,781,67,75,14.4,20,8323,49
Yale University,Yes,10705,2453,23,1317,54,95,99,5217,83,19840,6510,630,26980,2115,96,96,5.8,49,40386,99
York College of Pennsylvania,Yes,2989,1855,62,691,37,28,63,2988,1726,4990,3560,500,9050,1250,75,75,18.1,28,4509,99
